iter	Passed	Remaining
0	232	69520
1	238	35487
2	243	24085
3	248	18392
4	255	15057
5	260	12769
6	266	11142
7	271	9900
8	276	8953
9	281	8173
10	286	7529
11	291	6988
12	297	6560
13	304	6212
14	309	5888
15	315	5597
16	320	5327
17	324	5084
18	329	4869
19	334	4686
20	339	4508
21	344	4347
22	348	4199
23	353	4067
24	361	3974
25	366	3867
26	371	3759
27	376	3657
28	381	3561
29	386	3477
30	390	3389
31	394	3307
32	399	3235
33	405	3170
34	409	3101
35	414	3039
36	418	2977
37	423	2918
38	428	2865
39	433	2815
40	437	2763
41	441	2714
42	446	2671
43	451	2627
44	456	2584
45	460	2542
46	465	2504
47	469	2464
48	474	2429
49	479	2395
50	483	2362
51	488	2330
52	493	2299
53	497	2266
54	501	2234
55	505	2202
56	509	2172
57	513	2142
58	517	2114
59	521	2086
60	525	2060
61	529	2033
62	533	2007
63	537	1983
64	541	1958
65	545	1934
66	549	1911
67	554	1890
68	558	1870
69	562	1849
70	567	1828
71	570	1808
72	575	1788
73	579	1769
74	583	1750
75	587	1732
76	592	1714
77	596	1696
78	600	1678
79	604	1661
80	608	1644
81	612	1627
82	616	1610
83	620	1594
84	624	1578
85	627	1562
86	631	1547
87	635	1531
88	639	1516
89	643	1502
90	647	1487
91	651	1473
92	655	1459
93	659	1445
94	663	1431
95	667	1418
96	671	1405
97	675	1392
98	679	1379
99	683	1366
100	687	1353
101	691	1341
102	695	1329
103	699	1317
104	703	1306
105	707	1295
106	711	1283
107	716	1272
108	720	1262
109	724	1251
110	728	1241
111	733	1230
112	737	1220
113	741	1210
114	746	1200
115	750	1190
116	754	1180
117	758	1170
118	762	1160
119	767	1150
120	771	1140
121	775	1131
122	779	1122
123	783	1112
124	787	1103
125	792	1093
126	796	1084
127	800	1075
128	805	1068
129	811	1061
130	818	1055
131	824	1049
132	830	1042
133	835	1034
134	840	1027
135	845	1020
136	853	1015
137	861	1011
138	867	1005
139	873	998
140	878	990
141	886	986
142	892	980
143	897	972
144	903	965
145	908	958
146	913	951
147	920	945
148	926	939
149	932	932
150	937	925
151	943	918
152	949	912
153	954	904
154	960	898
155	966	892
156	972	885
157	977	878
158	984	872
159	989	865
160	995	859
161	1001	852
162	1006	846
163	1013	840
164	1019	834
165	1025	827
166	1031	821
167	1037	815
168	1044	809
169	1049	802
170	1055	795
171	1061	789
172	1066	783
173	1071	776
174	1078	770
175	1084	763
176	1089	757
177	1095	751
178	1101	744
179	1109	739
180	1114	732
181	1120	726
182	1126	719
183	1131	713
184	1136	706
185	1141	699
186	1147	693
187	1152	686
188	1160	681
189	1166	675
190	1173	669
191	1180	663
192	1185	657
193	1191	651
194	1196	644
195	1201	637
196	1208	631
197	1213	625
198	1218	618
199	1224	612
200	1229	605
201	1235	599
202	1241	593
203	1246	586
204	1252	580
205	1257	573
206	1263	567
207	1268	561
208	1274	554
209	1279	548
210	1284	541
211	1289	535
212	1294	528
213	1300	522
214	1305	516
215	1310	509
216	1315	503
217	1321	497
218	1326	490
219	1331	484
220	1337	477
221	1342	471
222	1347	465
223	1353	459
224	1358	452
225	1363	446
226	1369	440
227	1374	434
228	1379	427
229	1384	421
230	1389	415
231	1392	408
232	1397	401
233	1401	395
234	1405	388
235	1410	382
236	1414	375
237	1419	369
238	1423	363
239	1427	356
240	1432	350
241	1438	344
242	1443	338
243	1450	332
244	1456	326
245	1461	320
246	1466	314
247	1471	308
248	1476	302
249	1481	296
250	1485	290
251	1490	283
252	1496	277
253	1501	271
254	1506	265
255	1511	259
256	1516	253
257	1520	247
258	1526	241
259	1531	235
260	1536	229
261	1542	223
262	1547	217
263	1552	211
264	1557	205
265	1563	199
266	1568	193
267	1574	187
268	1579	182
269	1584	176
270	1589	170
271	1595	164
272	1600	158
273	1605	152
274	1610	146
275	1615	140
276	1620	134
277	1625	128
278	1630	122
279	1635	116
280	1640	110
281	1645	105
282	1649	99
283	1654	93
284	1658	87
285	1663	81
286	1667	75
287	1672	69
288	1676	63
289	1680	57
290	1684	52
291	1688	46
292	1693	40
293	1697	34
294	1701	28
295	1705	23
296	1709	17
297	1714	11
298	1718	5
299	1722	0
