Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges
1,0,0,0,26,1,No,DSL,No,No,No,Yes,Yes,No,One year,0,Credit card (automatic),59.45,1507.0
1,1,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),116.05,8404.9
1,0,1,0,70,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),114.3,8244.3
1,1,1,0,49,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,0,Credit card (automatic),90.05,4547.25
0,0,1,0,72,0,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),65.2,4784.45
1,1,0,0,7,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,84.8,546.95
1,0,0,0,31,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.4,609.1
1,0,0,0,1,1,No,DSL,No,No,No,No,No,Yes,Month-to-month,0,Mailed check,55.55,55.55
0,0,0,0,15,1,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,0,Electronic check,58.95,955.15
1,0,0,0,7,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.4,168.65
1,0,0,0,3,1,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,98.7,293.65
0,0,1,1,68,1,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,1,Credit card (automatic),103.75,7039.45
0,0,0,0,8,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,19.2,161.95
1,0,0,1,45,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,0,Bank transfer (automatic),99.7,4634.35
1,1,1,0,6,1,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,80.8,457.1
1,0,0,0,2,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),69.8,134.7
0,0,0,0,36,1,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),94.8,3565.65
1,0,1,1,49,0,No phone service,DSL,Yes,No,No,No,No,Yes,Month-to-month,1,Electronic check,39.2,1838.15
0,1,0,0,18,1,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,84.95,1443.65
0,0,1,0,70,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.85,1328.35
1,0,1,0,52,1,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,1,Bank transfer (automatic),96.25,4990.25
1,1,0,0,68,1,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,95.9,6503.2
1,0,0,0,51,1,No,Fiber optic,Yes,No,No,No,Yes,No,One year,0,Mailed check,86.35,4267.15
1,0,1,1,42,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,0,Mailed check,54.5,2301.15
1,0,0,0,9,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,85.5,791.7
1,0,0,1,6,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,26.35,184.05
1,0,0,0,45,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),103.65,4747.85
0,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.55,19.55
1,0,0,0,72,0,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),61.2,4390.25
0,0,0,0,12,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,94.2,1046.1
1,0,1,0,54,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),109.75,6110.2
0,0,1,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,45.7,45.7
0,1,0,0,45,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,1,Electronic check,97.05,4385.05
0,1,0,0,5,1,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,0,Credit card (automatic),59.9,287.85
1,0,0,0,34,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Credit card (automatic),116.25,3899.05
0,0,1,1,44,1,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,0,Electronic check,94.4,4295.35
1,0,1,0,70,1,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,0,Bank transfer (automatic),84.6,5706.2
1,0,0,1,57,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,89.55,5012.35
0,0,0,0,25,1,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,1,Credit card (automatic),76.15,1992.95
1,0,0,0,7,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,43.9,278.4
0,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),118.75,8672.45
1,0,0,0,44,1,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,0,Electronic check,100.55,4398.15
0,0,1,1,58,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Credit card (automatic),105.2,6225.4
1,0,1,1,60,1,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),103.75,5969.95
1,0,1,1,70,1,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Electronic check,106.15,7475.1
1,0,1,1,72,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),111.95,8033.1
1,0,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),115.15,8349.45
1,0,0,1,6,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.7,111.65
1,0,0,0,1,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,79.15,79.15
0,0,1,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,69.1,69.1
0,1,0,0,66,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),80.45,5224.35
1,0,0,0,25,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.15,536.35
1,0,0,0,8,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,25.5,215.2
0,0,1,0,54,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,0,Electronic check,110.35,5893.15
1,0,0,0,52,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,103.05,5364.8
0,0,0,0,2,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,1,Mailed check,49.6,114.7
1,0,0,1,35,1,No,DSL,No,No,No,Yes,Yes,Yes,One year,1,Mailed check,72.1,2495.15
1,0,1,0,51,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,1,Credit card (automatic),90.35,4614.55
1,0,1,0,72,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,1,Bank transfer (automatic),106.3,7565.35
0,0,0,0,9,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),75.2,633.85
1,0,0,0,1,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.9,74.9
1,0,1,0,35,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,75.2,2576.2
0,0,0,1,21,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.75,452.2
0,0,1,0,41,0,No phone service,DSL,No,Yes,No,Yes,No,No,One year,0,Mailed check,35.45,1391.65
0,0,0,0,7,1,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,0,Bank transfer (automatic),62.8,418.3
1,1,1,0,69,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,109.95,7634.25
1,0,1,0,5,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.35,126.05
0,0,1,1,58,1,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,0,Credit card (automatic),99.25,5846.65
0,0,1,0,72,1,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),84.4,6096.45
1,0,0,0,28,0,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,1,Credit card (automatic),30.1,810.85
1,0,0,0,1,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,0,Mailed check,50.65,50.65
0,0,1,0,72,1,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,0,Bank transfer (automatic),80.45,5737.6
1,0,0,0,2,1,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,85.85,167.3
