iter	Passed	Remaining
0	196	58651
1	204	30398
2	209	20755
3	214	15885
4	220	12987
5	225	11027
6	230	9650
7	236	8628
8	241	7818
9	248	7192
10	253	6650
11	258	6200
12	264	5845
13	270	5524
14	275	5243
15	281	4998
16	286	4769
17	291	4566
18	296	4389
19	302	4231
20	308	4096
21	313	3967
22	318	3838
23	323	3720
24	328	3618
25	333	3517
26	338	3427
27	344	3343
28	348	3258
29	353	3179
30	358	3111
31	363	3045
32	368	2981
33	373	2920
34	384	2908
35	390	2860
36	396	2816
37	400	2764
38	406	2723
39	411	2674
40	416	2632
41	422	2596
42	426	2551
43	432	2515
44	437	2477
45	442	2440
46	446	2402
47	450	2366
48	456	2340
49	461	2307
50	465	2274
51	471	2246
52	475	2217
53	480	2187
54	485	2160
55	489	2133
56	494	2107
57	499	2082
58	503	2057
59	508	2032
60	512	2007
61	517	1987
62	522	1966
63	527	1944
64	533	1928
65	538	1908
66	543	1889
67	548	1871
68	553	1854
69	558	1835
70	563	1817
71	568	1799
72	572	1780
73	577	1762
74	581	1745
75	586	1727
76	590	1710
77	594	1693
78	599	1677
79	604	1662
80	609	1646
81	614	1632
82	618	1616
83	622	1601
84	627	1587
85	632	1573
86	636	1559
87	641	1545
88	646	1532
89	650	1517
90	654	1502
91	659	1489
92	663	1477
93	668	1465
94	672	1452
95	678	1441
96	682	1428
97	686	1415
98	691	1403
99	695	1391
100	699	1378
101	703	1366
102	708	1354
103	712	1342
104	716	1330
105	720	1318
106	724	1307
107	729	1296
108	732	1284
109	737	1273
110	741	1262
111	745	1251
112	750	1242
113	755	1232
114	760	1222
115	764	1212
116	768	1201
117	772	1191
118	776	1181
119	781	1171
120	785	1161
121	789	1152
122	793	1142
123	797	1132
124	801	1122
125	806	1113
126	810	1104
127	814	1094
128	819	1086
129	824	1078
130	828	1068
131	832	1059
132	836	1050
133	841	1041
134	845	1032
135	849	1024
136	853	1015
137	857	1006
138	861	998
139	865	989
140	869	981
141	874	972
142	878	964
143	882	955
144	886	947
145	890	939
146	894	930
147	898	922
148	902	914
149	906	906
150	910	898
151	915	890
152	919	883
153	923	875
154	927	867
155	931	859
156	935	852
157	939	844
158	943	836
159	947	829
160	952	822
161	956	814
162	960	807
163	964	799
164	969	792
165	973	785
166	977	778
167	981	771
168	986	764
169	990	757
170	994	750
171	998	743
172	1003	736
173	1008	730
174	1013	723
175	1018	717
176	1022	710
177	1027	704
178	1032	697
179	1036	691
180	1040	684
181	1045	677
182	1050	671
183	1054	664
184	1058	658
185	1063	651
186	1067	645
187	1071	638
188	1076	631
189	1080	625
190	1086	619
191	1090	613
192	1095	607
193	1099	600
194	1104	594
195	1108	588
196	1113	582
197	1117	575
198	1121	569
199	1125	562
200	1129	556
201	1133	549
202	1137	543
203	1142	537
204	1146	531
205	1150	525
206	1155	518
207	1159	512
208	1163	506
209	1168	500
210	1172	494
211	1176	488
212	1181	482
213	1185	476
214	1189	470
215	1195	464
216	1199	458
217	1203	452
218	1207	446
219	1212	440
220	1216	434
221	1219	428
222	1224	422
223	1228	416
224	1232	410
225	1237	405
226	1241	399
227	1245	393
228	1249	387
229	1253	381
230	1258	375
231	1262	369
232	1266	364
233	1270	358
234	1275	352
235	1280	347
236	1283	341
237	1288	335
238	1292	329
239	1296	324
240	1300	318
241	1305	312
242	1309	307
243	1313	301
244	1317	295
245	1321	290
246	1326	284
247	1330	278
248	1334	273
249	1338	267
250	1342	262
251	1346	256
252	1350	250
253	1355	245
254	1359	239
255	1363	234
256	1367	228
257	1371	223
258	1375	217
259	1379	212
260	1384	206
261	1388	201
262	1392	195
263	1396	190
264	1401	185
265	1405	179
266	1409	174
267	1413	168
268	1418	163
269	1422	158
270	1426	152
271	1430	147
272	1434	141
273	1438	136
274	1442	131
275	1447	125
276	1451	120
277	1455	115
278	1460	109
279	1465	104
280	1469	99
281	1473	94
282	1478	88
283	1482	83
284	1487	78
285	1491	73
286	1496	67
287	1500	62
288	1504	57
289	1508	52
290	1513	46
291	1517	41
292	1521	36
293	1525	31
294	1529	25
295	1533	20
296	1537	15
297	1541	10
298	1546	5
299	1550	0
